Sl. No.,Buyer,Export Responsible,Ex-Factory,Days,Onboard,Days,B/L Collection,Days,Bank Doc Submission,Days,Payment Term,Payment Date,Remarks,Payment After Ex-Factory
1,Assurer Worldwide,,01-Jan-26,7,08-Jan-26,3,11-Jan-26,,,,10,21-Jan-26,not update,40
2,Assurer Worldwide Apparel LLC.,,01-Jan-26,7,08-Jan-26,3,11-Jan-26,,,,10,21-Jan-26,not update,40
3,Assurer Worldwide Apparel LLC-FZ,,01-Jan-26,7,08-Jan-26,3,11-Jan-26,,,,10,21-Jan-26,not update,40
4,Assurer Worldwide Apparel LLC-FZ,,01-Jan-26,7,08-Jan-26,3,11-Jan-26,,,,10,21-Jan-26,not update,40
5, Assurer Worldwide Apparel LLC-FZ,,01-Jan-26,7,08-Jan-26,3,11-Jan-26,,,,10,21-Jan-26,not update,40
6,Auric Sourcing BD,,01-Jan-26,7,08-Jan-26,5,13-Jan-26,,,,45,27-Feb-26,not update,112
7,5 STAR APPAREL LLC,,01-Jan-26,7,08-Jan-26,5,13-Jan-26,,,,15,28-Jan-26,not update,52
8,A.M.London Fashion Ltd,Qutubuddin,01-Jan-26,7,08-Jan-26,3,11-Jan-26,,,,60,12-Mar-26,,140
9,AAMARA TEX LTD,Sajjad,01-Jan-26,7,08-Jan-26,3,11-Jan-26,,,,10,21-Jan-26,,40
10,ABC S.A.,,01-Jan-26,7,08-Jan-26,3,11-Jan-26,,,,10,21-Jan-26,not update,40
11,Aldi Sourcing Asia Limited,Masum Ahmed,01-Jan-26,7,08-Jan-26,7,15-Jan-26,,,,30,14-Feb-26,,84
12,AMD APPARELS PRIVATE LTD,Sajjad,01-Jan-26,7,08-Jan-26,3,11-Jan-26,,,,7,18-Jan-26,,34
13,Arden Holdings Inc.,,01-Jan-26,7,08-Jan-26,3,11-Jan-26,,,,10,21-Jan-26,not update,40
14,Assurer At Work Limited,,01-Jan-26,7,08-Jan-26,3,11-Jan-26,,,,10,21-Jan-26,not update,40
15,"Assurer Worldwide Apparel LLC,",,01-Jan-26,7,08-Jan-26,3,11-Jan-26,,,,10,21-Jan-26,not update,40
16,BANDO DESIGN LTD,,01-Jan-26,7,08-Jan-26,3,11-Jan-26,,,,15,26-Jan-26,not update,50
17,BASICLINE INT'L LTD,,01-Jan-26,7,08-Jan-26,3,11-Jan-26,,,,15,26-Jan-26,not update,50
18,Benisti Import Export Inc,,01-Jan-26,7,08-Jan-26,3,11-Jan-26,,,,40,20-Feb-26,not update,100
19,BSI APPAREL LTD,,01-Jan-26,7,08-Jan-26,3,11-Jan-26,,,,20,31-Jan-26,not update,60
20,BELK,Sajjad,01-Jan-26,7,08-Jan-26,3,11-Jan-26,,,,30,10-Feb-26,,80
21,Bestseller,Mamun,01-Jan-26,7,08-Jan-26,3,11-Jan-26,,,,10,21-Jan-26,,40
22,Best Seller,Mamun,01-Jan-26,7,08-Jan-26,3,11-Jan-26,,,,10,21-Jan-26,,40
23,BESTSELLER A/S,Mamun,01-Jan-26,7,08-Jan-26,3,11-Jan-26,,,,10,21-Jan-26,,40
24,"Bestseller A/S,",Mamun,01-Jan-26,7,08-Jan-26,3,11-Jan-26,,,,10,21-Jan-26,,40
25,Best Canada,Mamun,01-Jan-26,7,08-Jan-26,3,11-Jan-26,,,,20,31-Jan-26,not update,60
26,C&A,,01-Jan-26,7,08-Jan-26,3,11-Jan-26,,,,10,21-Jan-26,not update,40
27,CARNET A/S,Sajjad,01-Jan-26,7,08-Jan-26,3,11-Jan-26,,,,10,21-Jan-26,,40
28,Choice Discount Stores LTD,Sajjad,01-Jan-26,7,08-Jan-26,3,11-Jan-26,,,,10,21-Jan-26,,40
29,"COLONY BRANDS ,INC",Sajjad,01-Jan-26,7,08-Jan-26,3,11-Jan-26,,,,30,10-Feb-26,,80
30,"Colony Brands, INC",Sajjad,01-Jan-26,7,08-Jan-26,3,11-Jan-26,,,,30,10-Feb-26,,80
31,CORTEFIEL,Qutubuddin,01-Jan-26,7,08-Jan-26,3,11-Jan-26,,,,21,01-Feb-26,,62
32,CORTEFIEL COMMERCIAL S. A.,Qutubuddin,01-Jan-26,7,08-Jan-26,3,11-Jan-26,,,,21,01-Feb-26,,62
33,Crew Clothing Company Ltd.,,01-Jan-26,7,08-Jan-26,3,11-Jan-26,,,,10,21-Jan-26,not update,40
34,CTF,,01-Jan-26,7,08-Jan-26,3,11-Jan-26,,,,10,21-Jan-26,not update,40
35,CECIL GMBH,,01-Jan-26,7,08-Jan-26,3,11-Jan-26,,,,25,05-Feb-26,not update,70
36,DK Company,Mamun,01-Jan-26,7,08-Jan-26,3,11-Jan-26,3,14-01-2026,4,75,03-Apr-26,,177
37,DK COMPANY CPH A/S,Mamun,01-Jan-26,7,08-Jan-26,3,11-Jan-26,3,14-01-2026,4,75,03-Apr-26,,177
38,DK Company Vejle A/S,Mamun,01-Jan-26,7,08-Jan-26,3,11-Jan-26,3,14-01-2026,4,75,03-Apr-26,,177
39,DK COMPANY A/S,Mamun,01-Jan-26,7,08-Jan-26,3,11-Jan-26,3,14-01-2026,4,75,03-Apr-26,,177
